店铺名称,店铺详情,店铺评分,评价人数,人均消费,店铺地址
CoCo都可（大润发奉贤店）,https://www.meituan.com/meishi/477236/,4.3,710,11.0,南桥
CoCo都可（松江九新店）,https://www.meituan.com/meishi/88008792/,4.3,469,12.0,九亭
CoCo都可（控江店）,https://www.meituan.com/meishi/90372666/,4.2,498,13.0,鞍山新村
CoCo都可（常德店）,https://www.meituan.com/meishi/97663862/,4.3,577,10.0,长寿路
CoCo都可（新闸店）,https://www.meituan.com/meishi/500136/,4.2,424,12.0,人民广场/南京路
CoCo都可（乐尚天地店）,https://www.meituan.com/meishi/159634390/,4.4,570,13.0,车墩影视城
CoCo都可（周浦小上海步行街店）,https://www.meituan.com/meishi/6381683/,4.3,561,10.0,康桥/周浦
茶百道（川沙路店）,https://www.meituan.com/meishi/1628696528/,4.3,28,16.0,川沙
CoCo都可（南桥宝龙店）,https://www.meituan.com/meishi/76349049/,4.5,1235,12.0,易买得
茶百道（海上传奇店）,https://www.meituan.com/meishi/518002440/,4.6,28,16.0,御桥
1点点（人民东店）,https://www.meituan.com/meishi/1766823153/,4.2,0,16.0,惠南镇
阿姨奶茶（本溪路店）,https://www.meituan.com/meishi/93862116/,4.3,394,11.0,控江地区
茶百道（秀沿路店）,https://www.meituan.com/meishi/816599375/,4.6,74,16.0,康桥/周浦
CoCo都可（曹路宝龙广场店）,https://www.meituan.com/meishi/50445901/,4.3,526,13.0,曹路
CoCo都可（隆昌店）,https://www.meituan.com/meishi/76944115/,4.3,416,10.0,平凉路/东外滩
CoCo都可（秀沿路店）,https://www.meituan.com/meishi/187704303/,4.4,427,12.0,康桥/周浦
CoCo都可（愚园店）,https://www.meituan.com/meishi/164952212/,4.3,257,11.0,静安寺
CoCo都可（宝山万达二店）,https://www.meituan.com/meishi/160585295/,4.2,473,12.0,庙行/共康
CoCo都可（新川店）,https://www.meituan.com/meishi/165648828/,4.5,343,12.0,川沙
CoCo都可（车站北路店）,https://www.meituan.com/meishi/164688583/,4.5,473,12.0,凉城/江湾镇
奶茶店De酸奶（梅园路店）,https://www.meituan.com/meishi/80166784/,3.9,4,14.0,嘉定镇
茶百道（合生汇店）,https://www.meituan.com/meishi/1318899257/,4.2,47,16.0,五角场/大学区
CoCo都可（金桥大拇指店）,https://www.meituan.com/meishi/152696426/,4.3,330,11.0,金桥
阿姨奶茶（临沂百联店）,https://www.meituan.com/meishi/5151195/,3.9,18,25.0,临沂/南码头
CoCo都可（江苏北店）,https://www.meituan.com/meishi/116423580/,4.1,264,13.0,中山公园/江苏路
阿姨奶茶汉堡手抓饼（虹桥路店）,https://www.meituan.com/meishi/119890275/,4.2,13,19.0,虹桥镇
CoCo都可（五角场万达店）,https://www.meituan.com/meishi/1591604/,4.4,539,12.0,五角场/大学区
点叶·羊乳奶茶（长阳创谷店）,https://www.meituan.com/meishi/186569286/,4.7,233,21.0,平凉路/东外滩
CoCo都可（曲阳家乐福店）,https://www.meituan.com/meishi/5647812/,4.1,497,11.0,曲阳地区
CoCo都可（大宁国际店）,https://www.meituan.com/meishi/171489626/,4.3,343,11.0,大宁地区
阿姨奶茶（平凉路店）,https://www.meituan.com/meishi/42128841/,4.2,557,13.0,平凉路/东外滩
阿姨奶茶（申北路店）,https://www.meituan.com/meishi/41257547/,4.2,142,11.0,莘庄
